Time (UTC),TEC (TECU)
2023-06-15 00:00:00,-23.142252850323644
2023-06-15 00:00:30,-20.705224159155307
2023-06-15 00:01:00,-15.555097129401606
2023-06-15 00:01:30,-13.96531670564517
2023-06-15 00:02:00,-16.916406112252776
2023-06-15 00:02:30,-19.781818768417274
2023-06-15 00:03:00,-25.75063507784164
2023-06-15 00:03:30,-19.391513382815898
2023-06-15 00:04:00,-15.202870323195015
2023-06-15 00:04:30,-15.031516751381924
2023-06-15 00:05:00,-17.144877588621476
2023-06-15 00:05:30,-18.239636551172598
2023-06-15 00:06:00,-16.326188238023942
2023-06-15 00:06:30,-14.41273996033872
2023-06-15 00:07:00,-19.94365267764995
2023-06-15 00:07:30,-23.51351891076419
2023-06-15 00:08:00,-22.342602789423506
2023-06-15 00:08:30,-16.64033646483575
2023-06-15 00:09:00,-16.421384651047465
2023-06-15 00:09:30,-16.050118590606914
2023-06-15 00:10:00,-22.92330103653536
2023-06-15 00:10:30,-25.465045803307632
2023-06-15 00:11:00,-21.94277777670515
2023-06-15 00:11:30,-19.648543740535533
2023-06-15 00:12:00,-19.648543740535533
2023-06-15 00:12:30,-19.401033009932878
2023-06-15 00:13:00,-18.886972294493606
2023-06-15 00:13:30,-17.725575800269898
2023-06-15 00:14:00,-16.221472162420007
2023-06-15 00:14:30,-13.94627741594778
2023-06-15 00:15:00,-15.650293577888563
2023-06-15 00:15:30,-15.764529280609478
2023-06-15 00:16:00,-14.91728104866101
2023-06-15 00:16:30,-20.905136647782765
2023-06-15 00:17:00,-28.425654872495652
2023-06-15 00:17:30,-22.96137961593014
2023-06-15 00:18:00,-19.163041941910635
2023-06-15 00:18:30,-20.77186165536446
2023-06-15 00:19:00,-14.879202469266227
2023-06-15 00:19:30,-13.365579204299358
2023-06-15 00:20:00,-19.59142590690679
2023-06-15 00:20:30,-18.439549039800056
2023-06-15 00:21:00,-13.793963133832081
2023-06-15 00:21:30,-18.144440102685643
2023-06-15 00:22:00,-23.227929600766757
2023-06-15 00:22:30,-19.31535622402633
