Time (UTC),TEC (TECU)
2024-04-04 00:00:00,-12.46121306779528
2024-04-04 00:00:30,-6.701828874115352
2024-04-04 00:01:00,-1.5517018443616517
2024-04-04 00:01:30,2.208557250263074
2024-04-04 00:02:00,-7.615714602272974
2024-04-04 00:02:30,-4.912135926268024
2024-04-04 00:03:00,-3.3509144193259592
2024-04-04 00:03:30,-5.292921649288986
2024-04-04 00:04:00,-7.11117354941412
2024-04-04 00:04:30,-12.537370226584846
2024-04-04 00:05:00,-13.32750058944114
2024-04-04 00:05:30,-13.984355995342561
2024-04-04 00:06:00,-13.194225597022834
2024-04-04 00:06:30,-6.178248496095672
2024-04-04 00:07:00,-3.246198343722023
2024-04-04 00:07:30,-1.19947503815506
2024-04-04 00:08:00,-12.194663047495233
2024-04-04 00:08:30,-16.09771679711868
2024-04-04 00:09:00,-13.689247058228146
2024-04-04 00:09:30,-19.83893660204601
2024-04-04 00:10:00,-17.18295613255282
2024-04-04 00:10:30,-15.336145351076755
2024-04-04 00:11:00,-11.709161248870334
2024-04-04 00:11:30,-10.90951122343363
2024-04-04 00:12:00,-12.46121306779528
2024-04-04 00:12:30,-13.917718499133409
2024-04-04 00:13:00,-9.48156470890987
2024-04-04 00:13:30,-4.617026989153607
2024-04-04 00:14:00,-0.7520518189249451
2024-04-04 00:14:30,-10.833354064644062
2024-04-04 00:15:00,-16.868807905741015
2024-04-04 00:15:30,-12.337457702493952
2024-04-04 00:16:00,-1.0566804186197754
2024-04-04 00:16:30,7.02549672804414
2024-04-04 00:17:00,0.847248267411903
2024-04-04 00:17:30,-4.302878762341798
2024-04-04 00:18:00,-9.81475222541907
2024-04-04 00:18:30,-12.556409516282239
2024-04-04 00:19:00,-13.479814871556838
2024-04-04 00:19:30,-27.854476252500774
2024-04-04 00:20:00,-26.026704760722097
2024-04-04 00:20:30,-8.4534432425679
2024-04-04 00:21:00,-6.949339604718009
2024-04-04 00:21:30,-10.214577238137425
2024-04-04 00:22:00,-6.654230667603592
2024-04-04 00:22:30,-11.271257656757198
2024-04-04 00:23:00,-4.816939477781067
2024-04-04 00:23:30,-3.5222679911390484
2024-04-04 00:24:00,-8.006020023337785
2024-04-04 00:24:30,-15.602695371376804
2024-04-04 00:25:00,-17.896929372082987
2024-04-04 00:25:30,-17.830291875873833
2024-04-04 00:26:00,-17.535182938759416
2024-04-04 00:26:30,-21.10504917187366
2024-04-04 00:27:00,-19.629504486301574
2024-04-04 00:27:30,-21.44775631549984
2024-04-04 00:28:00,-12.070907682193905
2024-04-04 00:28:30,-5.588030586403403
2024-04-04 00:29:00,-11.46165051826768
2024-04-04 00:29:30,-10.662000492830973
2024-04-04 00:30:00,-1.2851518595250393
2024-04-04 00:30:30,-4.636066314314434
2024-04-04 00:31:00,-11.642523717197747
2024-04-04 00:31:30,-17.33527041466852
2024-04-04 00:32:00,-19.324875851143307
2024-04-04 00:32:30,-7.739470003037738
2024-04-04 00:33:00,1.2470732801302564
2024-04-04 00:33:30,-7.64427355455078
2024-04-04 00:34:00,-13.2703827558124
2024-04-04 00:34:30,-18.829854389937996
2024-04-04 00:35:00,-9.03414145421632
2024-04-04 00:35:30,-6.701828874115352
2024-04-04 00:36:00,-7.5300378163664305
2024-04-04 00:36:30,-6.854143191694486
2024-04-04 00:37:00,-17.221034711947606
2024-04-04 00:37:30,-13.356059541718944
2024-04-04 00:38:00,-13.80348276094906
2024-04-04 00:38:30,-11.337895152966352
2024-04-04 00:39:00,-17.78269366936207
2024-04-04 00:39:30,-8.767591433916273
2024-04-04 00:40:00,-12.946714866420178
2024-04-04 00:40:30,-4.226721603552232
2024-04-04 00:41:00,-1.208994700735473
2024-04-04 00:41:30,-13.260863093231988
2024-04-04 00:42:00,-18.515706198589626
2024-04-04 00:42:30,-2.7416572553997334
2024-04-04 00:43:00,-0.9234053907380344
2024-04-04 00:43:30,-8.091696773780894
2024-04-04 00:44:00,-10.10034153541651
2024-04-04 00:44:30,-10.804795112366257
2024-04-04 00:45:00,-12.251780916587409
2024-04-04 00:45:30,-19.55334732751201
2024-04-04 00:46:00,-10.090821872836097
2024-04-04 00:46:30,-11.68060229659253
2024-04-04 00:47:00,-15.850206066516023
2024-04-04 00:47:30,-3.693621598415573
2024-04-04 00:48:00,-4.1124859008313175
2024-04-04 00:48:30,-3.8840144599260538
2024-04-04 00:49:00,-10.585843334041407
2024-04-04 00:49:30,-11.756759455382095
2024-04-04 00:50:00,-14.184268519433456
2024-04-04 00:50:30,-5.292921684752421
2024-04-04 00:51:00,-4.045848404622164
2024-04-04 00:51:30,-10.09082190829953
2024-04-04 00:52:00,-10.79527548524928
2024-04-04 00:52:30,-6.016414551399561
2024-04-04 00:53:00,-7.825146788944282
2024-04-04 00:53:30,-13.470295279903294
2024-04-04 00:54:00,-14.49841671078183
2024-04-04 00:54:30,-11.642523752661182
2024-04-04 00:55:00,-18.877452631913194
2024-04-04 00:55:30,-12.499291611726628
2024-04-04 00:56:00,-5.645148455495578
2024-04-04 00:56:30,-5.616589538681208
2024-04-04 00:57:00,-5.064450243847157
2024-04-04 00:57:30,1.047160756039362
2024-04-04 00:58:00,5.721305614285144
2024-04-04 00:58:30,2.208557250263074
2024-04-04 00:59:00,-1.6373786657316312
2024-04-04 00:59:30,-0.4188643024157449
2024-04-04 01:00:00,9.75763439179033
2024-04-04 01:00:30,6.863662818811464
2024-04-04 01:01:00,-10.728637989040127
2024-04-04 01:01:30,-9.16741648209806
2024-04-04 01:02:00,-3.7983376385560743
2024-04-04 01:02:30,0.31414822681180865
2024-04-04 01:03:00,-2.28471440905264
2024-04-04 01:03:30,-2.6750197591905804
2024-04-04 01:04:00,-1.4850643481524988
2024-04-04 01:04:30,4.407594837945735
2024-04-04 01:05:00,3.398512661301156
2024-04-04 01:05:30,4.68366448536276
2024-04-04 01:06:00,1.4565054313381287
2024-04-04 01:06:30,4.5313502032470625
2024-04-04 01:07:00,-7.196850335320664
2024-04-04 01:07:30,-8.653355766658793
2024-04-04 01:08:00,-3.3604340819063725
2024-04-04 01:08:30,8.710473600287532
2024-04-04 01:09:00,10.166979031625662
2024-04-04 01:09:30,0.5140607509027026
2024-04-04 01:10:00,-6.121130627003498
2024-04-04 01:10:30,-4.379035921131365
2024-04-04 01:11:00,-0.8853268113432513
2024-04-04 01:11:30,-3.379473371603764
2024-04-04 01:12:00,3.579385895694658
2024-04-04 01:12:30,3.588905522811636
2024-04-04 01:13:00,-9.243573640887627
2024-04-04 01:13:30,-2.9034912000958446
2024-04-04 01:14:00,5.035891327032786
2024-04-04 01:14:30,3.5317876537194617
2024-04-04 01:15:00,-4.778860933849717
2024-04-04 01:15:30,-4.855018092639284
2024-04-04 01:16:00,-1.0281215018054053
2024-04-04 01:16:30,0.5997375368092474
2024-04-04 01:17:00,-0.19991248862745928
2024-04-04 01:17:30,-13.2703827558124
2024-04-04 01:18:00,-12.375536281888737
2024-04-04 01:18:30,-5.3024413118694
2024-04-04 01:19:00,-3.7221805152299425
2024-04-04 01:19:30,-4.083926984016947
2024-04-04 01:20:00,1.1137982522485155
2024-04-04 01:20:30,4.312398389458777
2024-04-04 01:21:00,1.4374661061773024
2024-04-04 01:21:30,-1.5707411340590434
2024-04-04 01:22:00,-0.5140607154392679
2024-04-04 01:22:30,3.379473371603764
2024-04-04 01:23:00,-1.3898678996655407
2024-04-04 01:23:30,9.062700406494125
2024-04-04 01:24:00,9.700516522698155
2024-04-04 01:24:30,2.960609069188019
2024-04-04 01:25:00,5.9783359720047775
