Time (UTC),TEC (TECU)
2023-05-27 15:17:00,91.07442731963481
2023-05-27 15:17:30,91.00778985888907
2023-05-27 15:18:00,78.87976427213955
2023-05-27 15:18:30,82.04028586541848
2023-05-27 15:19:00,85.62919138823011
2023-05-27 15:19:30,73.90099084966239
2023-05-27 15:20:00,75.81443916281104
2023-05-27 15:20:30,64.4575047201473
2023-05-27 15:21:00,81.82133405163019
2023-05-27 15:21:30,89.82735407496797
2023-05-27 15:22:00,65.39042973800231
2023-05-27 15:22:30,72.02562115137194
2023-05-27 15:23:00,70.40728177533771
2023-05-27 15:23:30,80.09827863545544
2023-05-27 15:24:00,99.91817594780407
2023-05-27 15:24:30,84.78194312081821
2023-05-27 15:25:00,67.941694167355
2023-05-27 15:25:30,99.79442061796618
2023-05-27 15:26:00,96.00560257106365
2023-05-27 15:26:30,83.36351626887486
2023-05-27 15:27:00,60.99235456263699
2023-05-27 15:27:30,65.76169583390629
2023-05-27 15:43:00,37.992896331848634
2023-05-27 15:43:30,66.16152084662465
2023-05-27 15:44:00,63.153313570924865
2023-05-27 15:44:30,43.895075215990715
2023-05-27 15:45:00,45.92275923186028
2023-05-27 15:45:30,70.73094962926649
2023-05-27 15:46:00,98.17608124193194
2023-05-27 15:48:30,65.38091011088534
2023-05-27 15:49:00,54.84266498335569
2023-05-27 15:49:30,53.26240418671623
2023-05-27 15:50:00,43.63804485827108
2023-05-27 15:50:30,63.65785469471059
2023-05-27 15:51:00,68.54143166870081
2023-05-27 15:51:30,62.85820463381046
2023-05-27 15:52:00,70.45487998184947
2023-05-27 15:52:30,64.1243172036381
2023-05-27 15:53:00,51.38703445296236
2023-05-27 15:53:30,51.26327908766103
2023-05-27 15:54:00,64.23855290635902
2023-05-27 15:54:30,58.62196340314125
2023-05-27 15:55:00,59.55488842099625
2023-05-27 15:55:30,56.679956137714775
2023-05-27 15:56:00,48.921446844979656
2023-05-27 15:56:30,52.64362736020959
2023-05-27 15:57:00,64.72405474044734
2023-05-27 15:57:30,56.6228382686226
2023-05-27 15:58:00,56.20397396620686
2023-05-27 15:58:30,46.78904675350614
2023-05-27 15:59:00,55.46144177439889
2023-05-27 15:59:30,59.31689735297402
2023-05-27 16:00:00,47.32214679410624
2023-05-27 16:00:30,32.89988720665054
2023-05-27 16:01:00,37.89769995428854
2023-05-27 16:01:30,41.26765366331189
2023-05-27 16:02:00,41.734116172239396
2023-05-27 16:02:30,44.88511813840134
2023-05-27 16:03:00,52.03437019628337
2023-05-27 16:03:30,57.03218294392137
2023-05-27 16:04:00,54.62371320503084
2023-05-27 16:04:30,45.44677702488893
2023-05-27 16:05:00,56.70851505452915
2023-05-27 16:05:30,55.25200965865446
2023-05-27 16:06:00,64.20047432696424
2023-05-27 16:06:30,46.46537886411392
2023-05-27 16:07:00,55.09969537653876
2023-05-27 16:07:30,56.889388288922646
2023-05-27 16:08:00,50.95865052342964
2023-05-27 16:08:30,57.2606543493632
2023-05-27 16:09:00,48.911927217862676
2023-05-27 16:09:30,44.94223593656665
2023-05-27 16:10:00,38.38320175291344
2023-05-27 16:10:30,45.370619937026234
2023-05-27 16:11:00,57.593841901335836
2023-05-27 16:11:30,59.26929911099881
2023-05-27 16:12:00,53.53847386959669
2023-05-27 16:12:30,53.37663992490058
2023-05-27 16:13:00,49.19751652786012
2023-05-27 16:13:30,49.09280045225617
2023-05-27 16:14:00,56.50860256590169
2023-05-27 16:14:30,51.24423983342707
2023-05-27 16:15:00,50.273236200713846
2023-05-27 16:15:30,52.01533094204942
2023-05-27 16:16:00,48.493062915446934
2023-05-27 16:16:30,37.49787490610676
2023-05-27 16:17:00,49.254634361488854
2023-05-27 16:17:30,56.72755434422654
2023-05-27 16:18:00,51.30135766705581
2023-05-27 16:18:30,43.2477394726697
2023-05-27 16:19:00,38.45935887623957
2023-05-27 16:19:30,44.59952879294046
2023-05-27 16:20:00,53.16720777369271
2023-05-27 16:20:30,50.6540219237348
