Time(UTC),TEC_actual(TECU),Delay_actual_L1(m),TEC_LSTM(TECU),Delay_LSTM_L1(m),TEC_Transformer(TECU),Delay_Transformer_L1(m)
00:00,37.812023,6.14084959,119.153130,19.35102654,43.442329,7.05523777
00:01,38.621193,6.27226257,109.857620,17.84139252,44.510597,7.22872972
00:02,44.923199,7.29573822,99.785248,16.20559120,46.841843,7.60733461
00:03,41.381889,6.72061253,88.689026,14.40351295,40.534500,6.58299255
00:04,38.944862,6.32482815,78.450363,12.74070644,40.458931,6.57072020
00:05,53.738384,8.72736549,69.750633,11.32782936,42.504890,6.90299320
00:06,58.422050,9.48801517,63.128006,10.25228405,43.952026,7.13801527
00:07,64.067200,10.40481377,58.624634,9.52091503,43.068840,6.99458122
00:08,67.751305,11.00312901,55.582001,9.02677727,41.108482,6.67621040
00:09,53.757427,8.73045826,52.948395,8.59906769,38.639801,6.27528477
00:10,58.022224,9.42308140,52.046143,8.45253754,42.780800,6.94780254
00:11,58.479168,9.49729061,52.794044,8.57400036,49.654243,8.06408215
00:12,44.656647,7.25244856,54.727341,8.88797665,56.520416,9.17918015
00:13,45.561012,7.39932203,56.007797,9.09592915,51.502609,8.36426544
00:14,48.692974,7.90796709,57.935608,9.40901375,48.082146,7.80876589
00:15,62.258469,10.11106682,59.503731,9.66368484,39.128212,6.35460520
00:16,34.594383,5.61828995,59.972397,9.73979855,34.974480,5.68001938
00:17,52.691227,8.55730247,59.375984,9.64293766,37.748833,6.13058710
00:18,49.587822,8.05329514,59.044731,9.58914089,46.406441,7.53662348
00:19,40.943985,6.64949512,59.081688,9.59514332,50.372925,8.18079948
00:20,46.370182,7.53073502,59.342590,9.63751507,47.550667,7.72245121
00:21,47.969482,7.79046869,59.343697,9.63769436,39.668930,6.44242001
00:22,34.565826,5.61365223,57.740265,9.37728977,28.862717,4.68744040
00:23,36.041370,5.85328722,55.104805,8.94927883,24.361900,3.95648670
00:24,39.449402,6.40676785,52.389343,8.50827503,24.608360,3.99651313
00:25,40.810711,6.62785053,49.050629,7.96605206,24.480515,3.97575021
00:26,49.368870,8.01773548,46.311104,7.52114010,30.172569,4.90016651
00:27,61.097073,9.92245102,45.130280,7.32936907,34.604195,5.61988354
00:28,62.458382,10.14353371,45.000534,7.30829763,32.139091,5.21953917
00:29,41.210537,6.69278431,44.840195,7.28225756,27.485474,4.46376991
00:30,56.413406,9.16180134,45.148979,7.33240557,27.929222,4.53583670
00:31,34.146961,5.54562664,45.990097,7.46900749,27.470818,4.46138954
00:32,33.356831,5.41730547,48.077232,7.80796766,28.303467,4.59661579
00:33,35.727222,5.80226851,50.538452,8.20768166,27.657036,4.49163246
00:34,34.537266,5.60901403,54.549911,8.85916138,33.846672,5.49685812
00:35,33.242596,5.39875317,62.393188,10.13294601,45.359077,7.36652660
00:36,30.148710,4.89629173,71.563988,11.62232685,51.250244,8.32327938
00:37,41.058220,6.66804743,81.951599,13.30932331,64.252220,10.43486118
00:38,39.687393,6.44541883,82.628937,13.41932678,38.029861,6.17622757
00:39,32.833248,5.33227348,78.882721,12.81092358,40.393921,6.56016207
00:40,34.251678,5.56263304,72.908051,11.84060860,39.884079,6.47736120
00:41,40.172894,6.52426624,66.797287,10.84819221,40.723640,6.61370993
00:42,31.500500,5.11582899,60.771927,9.86964607,40.007248,6.49736452
00:43,35.327396,5.73733473,55.687508,9.04391193,40.116737,6.51514626
00:44,31.966963,5.19158459,51.604408,8.38079739,39.177116,6.36254740
