Time (UTC),TEC (TECU)
2024-04-09 10:03:30,165.08013428036455
2024-04-09 10:04:00,177.39855269316112
2024-04-09 10:04:30,180.35916176234915
2024-04-09 10:05:00,161.66258232936602
2024-04-09 10:05:30,172.12467029810608
2024-04-09 10:06:00,177.41759198285848
2024-04-09 10:06:30,176.45610797726226
2024-04-09 10:07:00,173.82868646004687
2024-04-09 10:07:30,167.85035045257865
2024-04-09 10:08:00,153.09490334861377
2024-04-09 10:08:30,161.29131623346203
2024-04-09 10:09:00,165.1372521139933
2024-04-09 10:09:30,162.30991807268703
2024-04-09 10:10:00,156.26494456900966
2024-04-09 10:10:30,166.94598435153802
2024-04-09 10:11:00,167.1268575504681
2024-04-09 10:11:30,149.86774429458913
2024-04-09 10:12:00,141.34766352034865
2024-04-09 10:12:30,138.11098483920705
2024-04-09 10:13:00,152.19053724757313
2024-04-09 10:13:30,164.31856279885918
2024-04-09 10:14:00,168.58336301726965
2024-04-09 10:14:30,160.39646975953835
2024-04-09 10:15:00,163.42371632493553
2024-04-09 10:15:30,164.59463244627622
2024-04-09 10:16:00,174.2951489689744
2024-04-09 10:16:30,162.92869486373021
2024-04-09 10:17:00,152.38093014454702
2024-04-09 10:17:30,141.34766355581206
2024-04-09 10:18:00,156.2554249418927
2024-04-09 10:18:30,162.8144591610093
2024-04-09 10:19:00,166.26057002882223
2024-04-09 10:19:30,161.40555197164636
2024-04-09 10:20:00,150.9434640029063
2024-04-09 10:20:30,165.61323428550122
2024-04-09 10:21:00,161.79585735724774
2024-04-09 10:21:30,157.9784803580674
2024-04-09 10:22:00,155.65568740508343
2024-04-09 10:22:30,147.82102098902214
2024-04-09 10:23:00,146.1265244896618
2024-04-09 10:23:30,146.01228875147746
2024-04-09 10:24:00,155.61760882568865
2024-04-09 10:24:30,150.15333360458658
2024-04-09 10:25:00,148.18276742234573
2024-04-09 10:25:30,151.32424969046383
2024-04-09 10:26:00,136.33081155394012
2024-04-09 10:26:30,143.68949576303
2024-04-09 10:27:00,145.01272623741326
2024-04-09 10:27:30,140.75744568158322
2024-04-09 10:28:00,151.27665148395207
2024-04-09 10:28:30,155.86511959175473
2024-04-09 10:29:00,151.47656400804297
2024-04-09 10:29:30,137.06382404770423
2024-04-09 10:30:00,147.12608700372596
2024-04-09 10:30:30,146.86905664600633
2024-04-09 10:31:00,134.73151146760327
2024-04-09 10:31:30,137.22565802786377
2024-04-09 10:32:00,138.98679202343328
2024-04-09 10:32:30,138.76784020964504
2024-04-09 10:33:00,146.93569417767893
2024-04-09 10:33:30,136.12137936726882
2024-04-09 10:34:00,145.88853338617614
2024-04-09 10:34:30,138.2823384110201
2024-04-09 10:35:00,121.80383589088049
2024-04-09 10:35:30,131.78042206099565
2024-04-09 10:36:00,146.6215459154037
2024-04-09 10:36:30,134.9123846665333
2024-04-09 10:37:00,139.08198843645684
2024-04-09 10:37:30,134.78862933669544
2024-04-09 10:38:00,141.6237332032291
2024-04-09 10:38:30,151.47656400804297
2024-04-09 10:39:00,151.6955157863678
2024-04-09 10:39:30,140.42425816507404
2024-04-09 10:40:00,131.99937383932053
2024-04-09 10:40:30,125.24042709611297
2024-04-09 10:41:00,122.70820199192113
2024-04-09 10:41:30,132.10408991492443
2024-04-09 10:42:00,140.04347240658964
2024-04-09 10:42:30,138.06338659723184
2024-04-09 10:43:00,137.25421690921473
2024-04-09 10:43:30,140.443297419308
2024-04-09 10:44:00,137.72067945360567
2024-04-09 10:44:30,146.6025066257063
2024-04-09 10:45:00,132.24688456992317
2024-04-09 10:45:30,124.04095205795791
2024-04-09 10:46:00,130.0097683673823
2024-04-09 10:46:30,136.35937047075447
2024-04-09 10:47:00,146.5644280463115
2024-04-09 10:47:30,143.4515047304712
2024-04-09 10:48:00,138.59648663783193
2024-04-09 10:48:30,135.0075811150203
2024-04-09 10:49:00,144.07028152151443
2024-04-09 10:49:30,147.97333527113787
2024-04-09 10:50:00,140.48137599870276
2024-04-09 10:50:30,142.88032611047635
2024-04-09 10:51:00,136.1594579466636
2024-04-09 10:51:30,137.13046157937683
2024-04-09 10:52:00,125.37370212399473
2024-04-09 10:52:30,131.6757059499283
2024-04-09 10:53:00,131.27588093720993
2024-04-09 10:53:30,133.72242925549526
2024-04-09 10:54:00,128.848371908622
2024-04-09 10:54:30,133.62723284247173
2024-04-09 10:55:00,132.89422031324418
2024-04-09 10:55:30,139.3104598773621
2024-04-09 10:56:00,129.45762910801167
2024-04-09 10:56:30,125.22138780641559
2024-04-09 10:57:00,128.1819968756036
2024-04-09 10:57:30,130.17160231207842
2024-04-09 10:58:00,131.6661863228113
2024-04-09 10:58:30,126.39230392775629
2024-04-09 10:59:00,131.05692915888508
2024-04-09 10:59:30,130.73326126949286
2024-04-09 11:00:00,133.69387033868088
2024-04-09 11:00:30,124.27894312598016
2024-04-09 11:01:00,116.34908026143196
2024-04-09 11:01:30,116.07301061401492
2024-04-09 11:02:00,117.3010446044478
2024-04-09 11:02:30,119.84278937122006
2024-04-09 11:03:00,116.1206088205267
2024-04-09 11:03:30,118.7861089526003
2024-04-09 11:04:00,127.74409328349049
2024-04-09 11:04:30,127.10627716728645
2024-04-09 11:05:00,128.61990046771677
2024-04-09 11:05:30,133.855704283377
