Time(UTC),TEC(TECU)
03-06-23 00:00,29.472816
03-06-23 00:01,27.844957
03-06-23 00:02,31.281548
03-06-23 00:03,32.319189
03-06-23 00:04,29.368100
03-06-23 00:05,33.194996
03-06-23 00:06,22.275965
03-06-23 00:07,26.188539
03-06-23 00:08,24.113256
03-06-23 00:09,26.959630
03-06-23 00:10,34.156480
03-06-23 00:11,27.426092
03-06-23 00:12,27.863996
03-06-23 00:13,25.560242
03-06-23 00:14,41.610361
03-06-23 00:15,35.603466
03-06-23 00:16,26.464608
03-06-23 00:17,31.243469
03-06-23 00:18,34.023205
03-06-23 00:19,27.978232
03-06-23 00:20,29.739366
03-06-23 00:21,29.691767
03-06-23 00:22,32.452464
03-06-23 00:23,32.319189
03-06-23 00:24,29.006353
03-06-23 00:25,32.823730
03-06-23 00:26,36.117527
03-06-23 00:27,39.040057
03-06-23 00:28,36.184164
03-06-23 00:29,35.270278
03-06-23 00:30,35.574907
03-06-23 00:31,24.360767
03-06-23 00:32,33.194996
03-06-23 00:33,38.754468
03-06-23 00:34,30.919801
03-06-23 00:35,35.765300
03-06-23 00:36,33.861371
03-06-23 00:37,44.104507
03-06-23 00:38,43.400054
03-06-23 00:39,30.900762
03-06-23 00:40,29.796484
03-06-23 00:41,34.641982
03-06-23 00:42,37.754905
03-06-23 00:43,35.498750
03-06-23 00:44,31.053076
03-06-23 00:45,38.478398
03-06-23 00:46,41.305732
03-06-23 00:47,41.505645
03-06-23 00:48,41.134379
03-06-23 00:49,36.736303
03-06-23 00:50,42.448089
03-06-23 00:51,37.421718
03-06-23 00:52,46.322584
03-06-23 00:53,35.203641
03-06-23 00:54,36.879098
03-06-23 00:55,35.194121
03-06-23 00:56,38.449839
03-06-23 00:57,41.867391
03-06-23 00:58,44.133066
03-06-23 00:59,39.592196
03-06-23 01:00,40.334729
03-06-23 01:01,39.087655
03-06-23 01:02,43.961713
03-06-23 01:03,48.397867
03-06-23 01:04,44.056909
03-06-23 01:05,41.762675
03-06-23 01:06,43.904595
03-06-23 01:07,35.612986
03-06-23 01:08,48.216993
03-06-23 01:09,47.931404
03-06-23 01:10,43.295338
03-06-23 01:11,39.458921
03-06-23 01:12,39.401804
03-06-23 01:13,48.569220
