Time(UTC),TEC(TECU)
14-05-23 00:00,39.097175
14-05-23 00:01,43.000229
14-05-23 00:02,39.411323
14-05-23 00:03,35.317877
14-05-23 00:04,34.918052
14-05-23 00:05,32.719014
14-05-23 00:06,38.716389
14-05-23 00:07,35.365475
14-05-23 00:08,32.937966
14-05-23 00:09,46.817606
14-05-23 00:10,40.077698
14-05-23 00:11,43.752281
14-05-23 00:12,38.697350
14-05-23 00:13,41.905470
14-05-23 00:14,43.733241
14-05-23 00:15,44.856559
14-05-23 00:16,41.429488
14-05-23 00:17,37.992896
14-05-23 00:18,45.789484
14-05-23 00:19,49.178477
14-05-23 00:20,34.194559
14-05-23 00:21,48.045640
14-05-23 00:22,36.222243
14-05-23 00:23,49.635420
14-05-23 00:24,42.200579
14-05-23 00:25,40.058659
14-05-23 00:26,52.900658
14-05-23 00:27,47.036557
14-05-23 00:28,48.236033
14-05-23 00:29,44.294900
14-05-23 00:30,45.532454
14-05-23 00:31,45.951318
14-05-23 00:32,41.972107
14-05-23 00:33,42.067304
14-05-23 00:34,48.826250
14-05-23 00:35,45.132629
14-05-23 00:36,45.722847
14-05-23 00:37,45.561013
14-05-23 00:38,50.168520
14-05-23 00:39,45.675249
14-05-23 00:40,48.036120
14-05-23 00:41,53.976377
14-05-23 00:42,37.421718
14-05-23 00:43,48.759613
14-05-23 00:44,47.036557
14-05-23 00:45,53.471836
14-05-23 00:46,54.985460
14-05-23 00:47,47.750531
14-05-23 00:48,51.491751
14-05-23 00:49,57.546244
14-05-23 00:50,54.385722
14-05-23 00:51,56.994104
14-05-23 00:52,61.582572
14-05-23 00:53,53.271924
14-05-23 00:54,60.221263
14-05-23 00:55,66.675582
14-05-23 00:56,66.647023
14-05-23 00:57,58.165020
14-05-23 00:58,39.658834
14-05-23 00:59,44.428175
14-05-23 01:00,56.308690
14-05-23 01:01,73.234616
14-05-23 01:02,64.971565
14-05-23 01:03,48.159875
14-05-23 01:04,52.748343
14-05-23 01:05,54.737949
14-05-23 01:06,51.206161
14-05-23 01:07,52.586510
14-05-23 01:08,53.709827
14-05-23 01:09,59.802399
14-05-23 01:10,53.300483
14-05-23 01:11,55.680394
14-05-23 01:12,51.196642
14-05-23 01:13,54.833145
14-05-23 01:14,45.332541
14-05-23 01:15,63.181872
14-05-23 01:16,57.003624
14-05-23 01:17,50.758738
14-05-23 01:18,58.212619
14-05-23 01:19,57.136899
14-05-23 01:20,54.737949
14-05-23 01:21,51.634545
14-05-23 01:22,54.737949
14-05-23 01:23,56.822751
14-05-23 01:24,56.213494
14-05-23 01:25,56.184935
14-05-23 01:26,53.490876
14-05-23 01:27,51.177602
14-05-23 01:28,54.585635
14-05-23 01:29,53.281443
14-05-23 01:30,55.480481
14-05-23 01:31,55.470961
14-05-23 01:32,66.913573
14-05-23 01:33,56.108778
14-05-23 01:34,60.421176
14-05-23 01:35,53.138649
14-05-23 01:36,60.935237
14-05-23 01:37,65.418989
14-05-23 01:38,51.710702
14-05-23 01:39,59.393054
14-05-23 01:40,58.621963
14-05-23 01:41,59.440653
14-05-23 01:42,59.316897
14-05-23 01:43,56.575240
14-05-23 01:44,58.364933
14-05-23 01:45,65.894971
14-05-23 01:46,62.924842
14-05-23 01:47,63.734012
14-05-23 01:48,66.113923
14-05-23 01:49,65.152439
14-05-23 01:50,59.992792
14-05-23 01:51,65.009644
14-05-23 01:52,57.879431
14-05-23 01:53,52.481793
14-05-23 01:54,59.554888
14-05-23 01:55,61.116110
14-05-23 01:56,69.502916
14-05-23 01:57,59.126504
14-05-23 01:58,70.197850
14-05-23 01:59,65.076282
14-05-23 02:00,65.123880
14-05-23 02:01,60.078469
14-05-23 02:02,59.602487
14-05-23 02:03,63.172353
14-05-23 02:04,62.477419
14-05-23 02:05,68.360558
14-05-23 02:06,72.035141
14-05-23 02:07,78.413302
14-05-23 02:08,73.796275
14-05-23 02:09,63.791130
14-05-23 02:10,72.168416
14-05-23 02:11,76.737845
14-05-23 02:12,76.233303
14-05-23 02:13,80.926488
14-05-23 02:14,83.458713
14-05-23 02:15,90.703161
14-05-23 02:16,78.736970
14-05-23 02:17,75.367016
14-05-23 02:18,73.282214
14-05-23 02:19,88.770674
14-05-23 02:20,83.591988
14-05-23 02:21,81.421509
14-05-23 02:22,87.437924
14-05-23 02:23,85.343602
14-05-23 02:24,83.925175
14-05-23 02:25,93.054513
14-05-23 02:26,87.942465
14-05-23 02:27,83.411114
14-05-23 02:28,83.411115
14-05-23 02:29,88.846831
14-05-23 02:30,91.388576
14-05-23 02:31,87.932945
14-05-23 02:32,86.257488
14-05-23 02:33,81.573823
14-05-23 02:34,77.423259
14-05-23 02:35,86.314606
14-05-23 02:36,87.666395
14-05-23 02:37,82.944652
14-05-23 02:38,83.449193
14-05-23 02:39,84.762904
14-05-23 02:40,78.994000
14-05-23 02:41,83.353997
14-05-23 02:42,112.645939
14-05-23 02:43,96.843331
14-05-23 02:44,93.901761
14-05-23 02:45,96.481585
14-05-23 02:46,103.545160
14-05-23 02:47,86.086134
14-05-23 02:48,86.923863
14-05-23 02:49,83.068407
14-05-23 02:50,81.783255
14-05-23 02:51,82.335395
14-05-23 02:52,81.107361
14-05-23 02:53,77.918280
14-05-23 02:54,84.172686
14-05-23 02:55,94.301586
14-05-23 02:56,88.980106
14-05-23 02:57,94.311106
14-05-23 02:58,87.856788
14-05-23 02:59,89.446568
14-05-23 03:00,87.904386
14-05-23 03:01,82.049806
14-05-23 03:02,95.129795
14-05-23 03:03,96.034161
14-05-23 03:04,92.892679
14-05-23 03:05,98.756779
14-05-23 03:06,93.540015
14-05-23 03:07,98.890054
14-05-23 03:08,82.449631
14-05-23 03:09,76.975836
14-05-23 03:10,96.595820
14-05-23 03:11,111.589259
14-05-23 03:12,101.707869
14-05-23 03:13,100.318001
14-05-23 03:14,115.273361
14-05-23 03:15,90.417572
14-05-23 03:16,99.261321
14-05-23 03:17,107.353017
14-05-23 03:18,99.366037
