Time(UTC),TEC(TECU)
27-05-23 00:00,43.171582
27-05-23 00:01,48.759613
27-05-23 00:02,49.540224
27-05-23 00:03,34.004166
27-05-23 00:04,36.574470
27-05-23 00:05,38.230887
27-05-23 00:06,31.976482
27-05-23 00:07,39.449402
27-05-23 00:08,45.342061
27-05-23 00:09,28.206703
27-05-23 00:10,38.497437
27-05-23 00:11,29.187226
27-05-23 00:12,37.431237
27-05-23 00:13,36.603028
27-05-23 00:14,30.586614
27-05-23 00:15,34.442069
27-05-23 00:16,34.108882
27-05-23 00:17,32.528621
27-05-23 00:18,34.803816
27-05-23 00:19,28.987314
27-05-23 00:20,27.844957
27-05-23 00:21,33.413948
27-05-23 00:22,30.691330
27-05-23 00:23,34.175519
27-05-23 00:24,34.641982
27-05-23 00:25,40.801191
27-05-23 00:26,32.138316
27-05-23 00:27,36.660146
27-05-23 00:28,39.639795
27-05-23 00:29,30.453339
27-05-23 00:30,32.376307
27-05-23 00:31,38.535516
27-05-23 00:32,33.747135
27-05-23 00:33,35.908094
27-05-23 00:34,38.497437
27-05-23 00:35,30.453339
27-05-23 00:36,37.326521
27-05-23 00:37,33.994646
27-05-23 00:38,40.601279
27-05-23 00:39,45.332541
27-05-23 00:40,29.320501
27-05-23 00:41,34.346873
27-05-23 00:42,30.662771
27-05-23 00:43,49.940049
27-05-23 00:44,41.410448
27-05-23 00:45,31.709932
27-05-23 00:46,42.648002
27-05-23 00:47,37.164687
27-05-23 00:48,39.430362
27-05-23 00:49,28.378057
27-05-23 00:50,41.524684
27-05-23 00:51,44.018831
27-05-23 00:52,39.658834
27-05-23 00:53,43.580927
27-05-23 00:54,37.631150
27-05-23 00:55,44.542411
27-05-23 00:56,46.693850
27-05-23 00:57,42.162500
27-05-23 00:58,44.123547
27-05-23 00:59,35.098925
27-05-23 01:00,33.642419
27-05-23 01:01,46.075074
27-05-23 01:02,47.017518
27-05-23 01:03,40.953505
27-05-23 01:04,44.390097
27-05-23 01:05,44.885118
27-05-23 01:06,49.092800
27-05-23 01:07,46.132191
27-05-23 01:08,38.288005
27-05-23 01:09,45.151668
27-05-23 01:10,42.847914
27-05-23 01:11,43.447652
27-05-23 01:12,36.869578
27-05-23 01:13,42.114902
27-05-23 01:14,53.176727
27-05-23 01:15,49.683018
27-05-23 01:16,48.207474
27-05-23 01:17,49.825813
27-05-23 01:18,41.934029
27-05-23 01:19,44.932716
27-05-23 01:20,47.645815
27-05-23 01:21,50.920572
27-05-23 01:22,44.237782
27-05-23 01:23,43.466691
27-05-23 01:24,43.495250
27-05-23 01:25,50.520747
27-05-23 01:26,52.434195
27-05-23 01:27,52.472274
27-05-23 01:28,44.789922
27-05-23 01:29,52.967295
27-05-23 01:30,51.434633
27-05-23 01:31,53.148168
27-05-23 01:32,48.969045
27-05-23 01:33,54.043015
27-05-23 01:34,45.646690
27-05-23 01:35,47.522059
27-05-23 01:36,56.251572
27-05-23 01:37,60.230783
27-05-23 01:38,50.454109
27-05-23 01:39,49.606861
27-05-23 01:40,48.178915
27-05-23 01:41,50.501708
27-05-23 01:42,58.859954
27-05-23 01:43,55.375765
27-05-23 01:44,58.212619
27-05-23 01:45,55.290088
27-05-23 01:46,56.023101
27-05-23 01:47,57.698558
27-05-23 01:48,53.405199
27-05-23 01:49,66.370953
27-05-23 01:50,54.937861
27-05-23 01:51,70.473919
27-05-23 01:52,55.451922
27-05-23 01:53,62.772528
27-05-23 01:54,62.915323
27-05-23 01:55,58.736199
27-05-23 01:56,69.055492
27-05-23 01:57,64.505103
27-05-23 01:58,63.343706
27-05-23 01:59,64.314710
27-05-23 02:00,59.764321
27-05-23 02:01,69.740907
27-05-23 02:02,73.425009
27-05-23 02:03,68.465275
27-05-23 02:04,68.484314
27-05-23 02:05,72.111298
27-05-23 02:06,70.711910
27-05-23 02:07,59.573928
27-05-23 02:08,72.206494
27-05-23 02:09,77.451818
27-05-23 02:10,67.399074
27-05-23 02:11,76.728325
27-05-23 02:12,79.003520
27-05-23 02:13,70.521517
27-05-23 02:14,70.140732
27-05-23 02:15,73.843873
27-05-23 02:16,70.645273
27-05-23 02:17,90.874515
27-05-23 02:18,84.772423
27-05-23 02:19,85.752947
27-05-23 02:20,81.887972
27-05-23 02:21,80.840811
27-05-23 02:22,75.252780
27-05-23 02:23,96.605340
27-05-23 02:24,39.487480
27-05-23 02:25,39.106695
